TableNumber,ImageNumber,"Image_FileName_DAPI","Image_PathName_DAPI","Image_FileName_Tubulin","Image_PathName_Tubulin","Image_FileName_Actin","Image_PathName_Actin","Image_Metadata_Plate_DAPI","Image_Metadata_Well_DAPI",Replicate,"Image_Metadata_Compound",Image_Metadata_Concentration
4,233,"G10_s1_w1BEDC2073-A983-4B98-95E9-84466707A25D.tif","Week4/Week4_27481","G10_s1_w2DCEC82F3-05F7-4F2F-B779-C5DF9698141E.tif","Week4/Week4_27481","G10_s1_w43CD51CBC-2370-471F-BA01-EE250B14B3C8.tif","Week4/Week4_27481","Week4_27481","G10",1,"5-fluorouracil",0.003000
4,234,"G10_s2_w11C3B9BCC-E48F-4C2F-9D31-8F46D8B5B972.tif","Week4/Week4_27481","G10_s2_w2570437EF-C8DC-4074-8D63-7FA3A7271FEE.tif","Week4/Week4_27481","G10_s2_w400B21F33-BDAB-4363-92C2-F4FB7545F08C.tif","Week4/Week4_27481","Week4_27481","G10",1,"5-fluorouracil",0.003000
4,235,"G10_s3_w1F4FCE330-C71C-4CA3-9815-EAF9B9876EB5.tif","Week4/Week4_27481","G10_s3_w2194A9AC7-369B-4D84-99C0-DA809B0042B8.tif","Week4/Week4_27481","G10_s3_w4E0452054-9FC1-41AB-8C5B-D0ACD058991F.tif","Week4/Week4_27481","Week4_27481","G10",1,"5-fluorouracil",0.003000
4,236,"G10_s4_w1747818B4-FFA7-40EE-B0A0-6A5974AF2644.tif","Week4/Week4_27481","G10_s4_w298D4652F-B5BF-49F2-BE51-8149DF83EAFD.tif","Week4/Week4_27481","G10_s4_w42648D36D-6B77-41CD-B520-6E4C533D9ABC.tif","Week4/Week4_27481","Week4_27481","G10",1,"5-fluorouracil",0.003000
4,473,"G10_s1_w10034568D-CC12-43C3-93A9-DC3782099DD3.tif","Week4/Week4_27521","G10_s1_w2A29ED14B-952C-4BA1-89B9-4F92B6DADEB4.tif","Week4/Week4_27521","G10_s1_w4DAA2E9D1-F6E9-45FA-ADC0-D341B647A680.tif","Week4/Week4_27521","Week4_27521","G10",2,"5-fluorouracil",0.003000
4,474,"G10_s2_w1E990F2A2-2458-43C7-836F-ACE5D72E684B.tif","Week4/Week4_27521","G10_s2_w20F5D0848-5B6C-4D1A-9936-C4204303DA54.tif","Week4/Week4_27521","G10_s2_w4616ADC9B-FADA-4E50-B3D8-55E92A1E41FD.tif","Week4/Week4_27521","Week4_27521","G10",2,"5-fluorouracil",0.003000
4,475,"G10_s3_w1F067601A-071F-4C88-BFD7-8E90820BA075.tif","Week4/Week4_27521","G10_s3_w269893765-5E19-400E-878C-BABD379B990B.tif","Week4/Week4_27521","G10_s3_w4A12DC02A-E564-44FB-A8DF-F1944418E5FE.tif","Week4/Week4_27521","Week4_27521","G10",2,"5-fluorouracil",0.003000
4,476,"G10_s4_w1DA83478B-B408-4554-95DD-E5B51E208A22.tif","Week4/Week4_27521","G10_s4_w260161015-CC57-4C7E-B717-6ECE274C232E.tif","Week4/Week4_27521","G10_s4_w4F663F23C-0622-48A7-B6BA-399D1A48D281.tif","Week4/Week4_27521","Week4_27521","G10",2,"5-fluorouracil",0.003000
4,713,"G10_s1_w142114158-6C23-4F1C-9872-2CF5E7D772A9.tif","Week4/Week4_27542","G10_s1_w2FC347BA1-84A1-437C-9176-A552A514A599.tif","Week4/Week4_27542","G10_s1_w41497E2CB-A1AB-48E9-BAFB-6FF3579C10E3.tif","Week4/Week4_27542","Week4_27542","G10",3,"5-fluorouracil",0.003000
4,714,"G10_s2_w17101CC97-BD52-4DBA-A01E-00422BA5A41C.tif","Week4/Week4_27542","G10_s2_w218565B7C-4EBD-40BE-8D6A-31297C148472.tif","Week4/Week4_27542","G10_s2_w46F7DE451-CF20-4E4C-BDD8-AD8AB4EAF82B.tif","Week4/Week4_27542","Week4_27542","G10",3,"5-fluorouracil",0.003000
