database,name,organism,cell_type,cell_component,phenotype,channels,microscopy,dir_name,path,filename
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,54_4_1.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,62_1_1.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,84_3_0.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,62_1_0.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,68_4_1.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,84_4_0.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,58_3_0.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,56_3_1.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,53_2_1.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,67_4_1.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,76_3_1.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,63_2_1.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,56_1_0.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,51_3_0.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,75_1_1.JPG
Broad Bioimage Benchmark Collection,Human U2OS cells transfluor,human,U-2 OS,nucleus|cell membrane,,f_nucleus|f_cell membrane,fluorescence,bbbc015,/ferrero/stan_data/bbbc015/BBBC015_v1_images,72_4_0.JPG
