database,name,organism,cell_type,cell_component,phenotype,channels,microscopy,dir_name,path,filename
Broad Bioimage Benchmark Collection,Human U2OS cells (out of focus),human,U-2 OS,nucleus,,f_nucleus|f_actin,confocal (?),bbbc006,/ferrero/stan_data/bbbc006/BBBC006_v1_images_z_16,mcf-z-stacks-03212011_h15_s1_w2c4ea9a91-6aa9-4dd0-a084-90a3d3c95c4e.tif
Broad Bioimage Benchmark Collection,Human U2OS cells (out of focus),human,U-2 OS,nucleus,,f_nucleus|f_actin,confocal (?),bbbc006,/ferrero/stan_data/bbbc006/BBBC006_v1_images_z_16,mcf-z-stacks-03212011_a04_s2_w2d8e0f6eb-15be-4200-9e1a-7d8c24ca5389.tif
Broad Bioimage Benchmark Collection,Human U2OS cells (out of focus),human,U-2 OS,nucleus,,f_nucleus|f_actin,confocal (?),bbbc006,/ferrero/stan_data/bbbc006/BBBC006_v1_images_z_16,mcf-z-stacks-03212011_p13_s2_w1a8d0a464-5195-4d0d-b8f4-b68b1acfb4de.tif
Broad Bioimage Benchmark Collection,Human U2OS cells (out of focus),human,U-2 OS,nucleus,,f_nucleus|f_actin,confocal (?),bbbc006,/ferrero/stan_data/bbbc006/BBBC006_v1_images_z_16,mcf-z-stacks-03212011_g16_s1_w2ef7c3a59-6a3c-47b4-b74a-0c295eef4ea8.tif
Broad Bioimage Benchmark Collection,Human U2OS cells (out of focus),human,U-2 OS,nucleus,,f_nucleus|f_actin,confocal (?),bbbc006,/ferrero/stan_data/bbbc006/BBBC006_v1_images_z_16,mcf-z-stacks-03212011_k06_s2_w15d87c025-4e4c-4bcb-acd2-1729ba974d80.tif
Broad Bioimage Benchmark Collection,Human U2OS cells (out of focus),human,U-2 OS,nucleus,,f_nucleus|f_actin,confocal (?),bbbc006,/ferrero/stan_data/bbbc006/BBBC006_v1_images_z_16,mcf-z-stacks-03212011_l13_s2_w146548c0b-335d-437f-b2a5-cd7ec2108e92.tif
Broad Bioimage Benchmark Collection,Human U2OS cells (out of focus),human,U-2 OS,nucleus,,f_nucleus|f_actin,confocal (?),bbbc006,/ferrero/stan_data/bbbc006/BBBC006_v1_images_z_16,mcf-z-stacks-03212011_h15_s2_w1317b2847-1d0b-43c6-8c73-55d495a6473d.tif
Broad Bioimage Benchmark Collection,Human U2OS cells (out of focus),human,U-2 OS,nucleus,,f_nucleus|f_actin,confocal (?),bbbc006,/ferrero/stan_data/bbbc006/BBBC006_v1_images_z_16,mcf-z-stacks-03212011_b15_s2_w199124da2-8312-4503-a28a-9f122c788d80.tif
Broad Bioimage Benchmark Collection,Human U2OS cells (out of focus),human,U-2 OS,nucleus,,f_nucleus|f_actin,confocal (?),bbbc006,/ferrero/stan_data/bbbc006/BBBC006_v1_images_z_16,mcf-z-stacks-03212011_f06_s1_w1a79bbe5f-78fe-4b52-aaa0-6c5294626379.tif
Broad Bioimage Benchmark Collection,Human U2OS cells (out of focus),human,U-2 OS,nucleus,,f_nucleus|f_actin,confocal (?),bbbc006,/ferrero/stan_data/bbbc006/BBBC006_v1_images_z_16,mcf-z-stacks-03212011_i01_s1_w23df6f6e4-fd93-4c48-8432-d69cd2835bec.tif
